,age1,age2,best_of,draw_size,hand1,hand2,ht1,ht2,id1,id2,ioc1,ioc2,loser1,loser2,match_num,name1,rank1,rank2,round,win,year
12298,26.7077344285,23.9671457906,5,128,R,R,193,180,100126,100185,USA,FRA,,Patrick Proisy,1,Stan Smith,3,23,1,1,1973
12302,26.694045174499998,22.5133470226,5,128,R,R,180,170,100127,100232,USA,USA,,Eddie Dibbs,5,Tom Gorman,15,39,1,1,1973
12314,30.1382614648,28.9418206708,5,128,R,R,185,188,100074,100091,USA,AUS,,Colin Dibley,17,Arthur Ashe,4,44,1,1,1973
12317,17.2292950034,26.417522245,5,128,R,R,180,175,100437,100134,SWE,USA,,Roy Barth,20,Bjorn Borg,29,179,1,1,1973
12319,21.4428473648,18.9514031485,5,128,R,R,185,190,100270,100345,IND,USA,,Pat Dupre,22,Anand Amritraj,124,176,1,1,1973
12327,22.1546885695,19.0937713895,5,128,R,R,190,183,100244,100342,AUS,USA,,Vitas Gerulaitis,30,John Alexander,32,125,1,1,1973
12333,26.6611909651,26.2587268994,5,128,R,R,175,178,100128,100139,USA,GBR,,Gerald Battrick,36,Cliff Richey,17,65,1,1,1973
12337,38.8227241615,27.786447638600002,5,128,R,R,175,173,100016,100106,AUS,GBR,,Graham Stilwell,40,Ken Rosewall,6,122,1,1,1973
12341,23.140314852800003,19.1594798084,5,128,R,L,183,201,100214,100339,ITA,USA,,Victor Amaya,44,Adriano Panatta,8,145,1,1,1973
12343,19.7070499658,35.6687200548,5,128,R,R,193,185,100321,100027,IND,USA,,Gene Scott,46,Vijay Amritraj,43,126,1,1,1973
12344,23.627652293,24.3312799452,5,128,L,R,173,178,100199,100179,FRA,GER,,Karl Meiler,47,Patrice Dominguez,36,20,1,1,1973
12345,35.0554414784,20.9472963723,5,128,L,R,173,168,100029,100286,AUS,USA,,Harold Solomon,48,Rod Laver,5,63,1,1,1973
12346,22.5188227242,25.3415468857,5,128,R,R,183,173,100231,100160,USA,FRA,,Georges Goven,49,Erik Van Dillen,38,56,1,1,1973
12348,27.2388774812,24.1122518823,5,128,R,R,180,173,100115,100182,CHI,USA,,Mike Estep,51,Jaime Fillol,24,59,1,1,1973
12352,23.457905544099997,21.3990417522,5,128,R,R,185,178,100205,100272,USA,USA,,Sandy Mayer,55,Paul Gerken,35,44,1,1,1973
12353,29.5167693361,45.3059548255,5,128,R,R,178,188,100084,100005,NED,USA,,Richard Pancho Gonzales,56,Tom Okker,9,129,1,1,1973
12362,26.7077344285,16.6762491444,5,128,R,R,193,178,100126,100461,USA,USA,,Billy Martin,65,Stan Smith,3,60,2,1,1973
12364,26.694045174499998,28.3997262149,5,128,R,R,180,196,100127,100098,USA,SWE,,Ove Nils Bengtson,67,Tom Gorman,15,51,2,1,1973
12368,26.373716632399997,31.7344284736,5,128,R,R,188,185,100135,100060,NZL,USA,,Marty Riessen,71,Onny Parun,57,14,2,1,1973
12370,30.1382614648,27.230663928800002,5,128,R,R,185,188,100074,100116,USA,USA,,Sherwood Stewart,73,Arthur Ashe,4,168,2,1,1973
12374,27.4962354552,32.9500342231,5,128,R,L,175,175,100113,100049,CZE,USA,,Jim Mcmanus,77,Jan Kodes,11,101,2,1,1973
