,age1,age2,best_of,draw_size,hand1,hand2,ht1,ht2,id1,id2,ioc1,ioc2,loser1,loser2,match_num,name1,rank1,rank2,round,win,year
16653,29.5934291581,21.7166324435,5,64,R,R,183,183,100087,100273,AUS,AUS,,Kim Warwick,33,John Newcombe,2,108,3,1,1974
16654,36.4654346338,25.7768651608,5,64,R,R,173,188,100025,100158,AUS,AUS,,John Bartlett,34,Barry Phillips Moore,64,118,3,1,1974
16659,29.2676249144,19.3319644079,5,64,R,R,188,178,100091,100343,AUS,GBR,,John Lloyd,39,Colin Dibley,39,100,3,1,1974
16662,26.699520876100003,21.8590006845,5,64,R,R,188,190,100135,100266,NZL,GBR,,John Feaver,42,Onny Parun,40,105,3,1,1974
16664,22.4804928131,30.176591375799998,5,64,R,R,190,190,100244,100076,AUS,CZE,,Milan Holecek,44,John Alexander,29,87,3,1,1974
16669,29.5934291581,36.4654346338,5,64,R,R,183,173,100087,100025,AUS,AUS,,Barry Phillips Moore,49,John Newcombe,2,64,4,1,1974
16671,23.8631074606,17.5550992471,5,64,R,R,183,180,100203,100437,AUS,SWE,,Bjorn Borg,51,Phil Dent,49,18,4,1,1974
16676,21.314168377799998,23.920602327199997,5,64,L,R,178,188,100284,100201,USA,AUS,,Syd Ball,56,Jimmy Connors,3,155,4,1,1974
16678,23.8631074606,29.2676249144,5,64,R,R,183,188,100203,100091,AUS,AUS,,Colin Dibley,58,Phil Dent,49,39,5,1,1974
16682,21.314168377799998,22.4804928131,5,64,L,R,178,190,100284,100244,USA,AUS,,John Alexander,62,Jimmy Connors,3,29,6,1,1974
16683,21.314168377799998,23.8631074606,5,64,L,R,178,183,100284,100203,USA,AUS,,Phil Dent,63,Jimmy Connors,3,49,7,1,1974
17866,29.5961670089,30.2532511978,5,32,L,R,178,188,100100,100091,AUS,AUS,,Colin Dibley,12,Tony Roche,27,87,3,1,1975
17869,34.4640657084,22.3655030801,5,32,R,R,183,180,100047,100281,AUS,IND,,Sashi Menon,15,Bob Carmichael,112,188,3,1,1975
17870,30.5790554415,19.0718685832,5,32,R,R,183,185,100087,100403,AUS,GER,,Rolf Gehring,16,John Newcombe,2,249,3,1,1975
17878,30.5790554415,34.4640657084,5,32,R,R,183,183,100087,100047,AUS,AUS,,Bob Carmichael,24,John Newcombe,2,112,4,1,1975
17879,22.2997946612,22.702258726900002,5,32,L,R,178,183,100284,100273,USA,AUS,,Kim Warwick,25,Jimmy Connors,1,48,5,1,1975
17884,30.5790554415,29.5961670089,5,32,R,L,183,178,100087,100100,AUS,AUS,,Tony Roche,30,John Newcombe,2,27,6,1,1975
17885,30.5790554415,22.2997946612,5,32,R,L,183,178,100087,100284,AUS,USA,,Jimmy Connors,31,John Newcombe,2,1,7,1,1975
23476,21.3305954825,35.4770704997,5,64,R,R,178,183,100343,100047,GBR,AUS,,Bob Carmichael,7,John Lloyd,93,71,2,1,1976
23482,25.8617385352,21.839835729,5,64,R,R,183,188,100203,100326,AUS,NZL,,Russell Simpson,13,Phil Dent,33,183,2,1,1976
23501,31.5920602327,20.0848733744,5,64,R,R,183,185,100087,100403,AUS,GER,,Rolf Gehring,32,John Newcombe,20,179,2,1,1976
23506,29.0321697467,24.804928131399997,5,64,R,R,193,183,100126,100236,USA,AUS,,John James,37,Stan Smith,21,135,3,1,1976
23508,21.5058179329,25.8617385352,5,64,R,R,185,183,100337,100203,AUS,AUS,,Phil Dent,39,Mark Edmondson,212,33,3,1,1976
23518,41.1471594798,25.9192334018,5,64,R,R,175,188,100016,100201,AUS,AUS,,Syd Ball,49,Ken Rosewall,6,116,4,1,1976
23523,30.609171800100004,23.7152635181,5,64,L,R,178,183,100100,100273,AUS,AUS,,Kim Warwick,54,Tony Roche,12,49,4,1,1976
23525,31.5920602327,29.3388090349,5,64,R,R,183,183,100087,100121,AUS,RSA,,Raymond Moore,56,John Newcombe,20,61,4,1,1976
23530,21.5058179329,41.1471594798,5,64,R,R,185,175,100337,100016,AUS,AUS,,Ken Rosewall,61,Mark Edmondson,212,6,6,1,1976
23532,21.5058179329,31.5920602327,5,64,R,R,185,183,100337,100087,AUS,AUS,,John Newcombe,63,Mark Edmondson,212,20,7,1,1976
28502,24.375085557800002,22.1382614648,5,64,L,R,180,178,100282,100356,ARG,AUS,,Paul Mcnamee,1,Guillermo Vilas,6,174,2,1,1977
28503,20.5749486653,17.1088295688,5,64,L,L,180,180,100436,100631,USA,USA,,Tim Wilkison,2,Nick Saviano,115,360,2,1,1977
28506,25.8699520876,24.8761122519,5,64,R,R,188,190,100229,100266,USA,GBR,,John Feaver,5,Dick Stockton,15,108,2,1,1977
28510,33.4811772758,21.4948665298,5,64,R,R,185,185,100074,100383,USA,AUS,,Peter Mcnamara,9,Arthur Ashe,12,193,2,1,1977
28515,32.2847364819,24.733744011,5,64,R,R,188,183,100091,100273,AUS,AUS,,Kim Warwick,14,Colin Dibley,85,67,2,1,1977
28519,30.0369609856,22.8583162218,5,64,R,R,180,188,100127,100326,USA,NZL,,Russell Simpson,18,Tom Gorman,46,143,2,1,1977
28521,22.524298425700003,36.4955509925,5,64,R,R,185,183,100337,100047,AUS,AUS,,Bob Carmichael,20,Mark Edmondson,35,134,2,1,1977
28525,42.165639972600005,26.9377138946,5,64,R,R,175,188,100016,100201,AUS,AUS,,Syd Ball,24,Ken Rosewall,13,89,2,1,1977
28527,26.8802190281,25.823408624200002,5,64,R,R,183,183,100203,100236,AUS,AUS,,John James,26,Phil Dent,37,146,2,1,1977
28532,21.9466119097,39.4825462012,5,64,R,R,196,173,100362,100025,USA,AUS,,Barry Phillips Moore,31,Peter Fleming,116,126,2,1,1977
28533,25.215605749499996,22.0260095825,5,64,L,R,183,190,100255,100360,USA,USA,,Brian Teacher,32,Roscoe Tanner,11,81,2,1,1977
28534,24.375085557800002,20.5749486653,5,64,L,L,180,180,100282,100436,ARG,USA,,Nick Saviano,33,Guillermo Vilas,6,115,3,1,1977
28543,22.524298425700003,28.7939767283,5,64,R,R,185,188,100337,100158,AUS,AUS,,John Bartlett,42,Mark Edmondson,35,175,3,1,1977
28544,35.0773442847,25.8617385352,5,64,R,R,185,183,100060,100231,USA,USA,,Erik Van Dillen,43,Marty Riessen,59,108,3,1,1977
28546,26.8802190281,30.573579739899998,5,64,R,R,183,188,100203,100116,AUS,USA,,Sherwood Stewart,45,Phil Dent,37,76,3,1,1977
28549,25.215605749499996,21.9466119097,5,64,L,R,183,196,100255,100362,USA,USA,,Peter Fleming,48,Roscoe Tanner,11,116,3,1,1977
28552,33.4811772758,23.230663928800002,5,64,R,R,185,193,100074,100315,USA,USA,,Hank Pfister,51,Arthur Ashe,12,101,4,1,1977
28553,25.4976043806,32.2847364819,5,64,R,R,190,188,100244,100091,AUS,AUS,,Colin Dibley,52,John Alexander,47,85,4,1,1977
28555,42.165639972600005,35.0773442847,5,64,R,R,175,185,100016,100060,AUS,USA,,Marty Riessen,54,Ken Rosewall,13,59,4,1,1977
28557,25.215605749499996,31.627652293,5,64,L,L,183,178,100255,100100,USA,AUS,,Tony Roche,56,Roscoe Tanner,11,50,4,1,1977
28559,25.4976043806,33.4811772758,5,64,R,R,190,185,100244,100074,AUS,USA,,Arthur Ashe,58,John Alexander,47,12,5,1,1977
28560,42.165639972600005,22.524298425700003,5,64,R,R,175,185,100016,100337,AUS,AUS,,Mark Edmondson,59,Ken Rosewall,13,35,5,1,1977
28561,25.215605749499996,26.8802190281,5,64,L,R,183,183,100255,100203,USA,AUS,,Phil Dent,60,Roscoe Tanner,11,37,5,1,1977
28562,24.375085557800002,25.4976043806,5,64,L,R,180,190,100282,100244,ARG,AUS,,John Alexander,61,Guillermo Vilas,6,47,6,1,1977
28563,25.215605749499996,42.165639972600005,5,64,L,R,183,175,100255,100016,USA,AUS,,Ken Rosewall,62,Roscoe Tanner,11,13,6,1,1977
28564,25.215605749499996,24.375085557800002,5,64,L,L,183,180,100255,100282,USA,ARG,,Guillermo Vilas,63,Roscoe Tanner,11,6,7,1,1977
31716,26.3572895277,23.1813826146,5,64,L,R,180,180,100282,100397,ARG,AUS,,Terry Rocavert,1,Guillermo Vilas,2,115,2,1,1978
31723,24.484599589299997,26.379192334000003,5,64,L,R,201,180,100339,100281,USA,IND,,Sashi Menon,8,Victor Amaya,44,157,2,1,1978
31724,27.2991101985,24.1204654346,5,64,R,R,180,178,100252,100356,USA,AUS,,Paul Mcnamee,9,Tim Gullikson,24,101,2,1,1978
31728,25.212867898699997,23.906913073200002,5,64,R,R,193,188,100315,100364,USA,GBR,,Jonathan Smith,13,Hank Pfister,35,197,2,1,1978
31730,27.805612594099998,22.6803559206,5,64,R,R,183,183,100236,100430,AUS,AUS,,David Carter,15,John James,117,110,2,1,1978
