,age1,age2,best_of,draw_size,hand1,hand2,ht1,ht2,id1,id2,ioc1,ioc2,loser1,loser2,match_num,name1,rank1,rank2,round,win,year
15422,20.4681724846,19.2635181383,5,128,R,R,193,170,100321,100367,IND,CHI,,Belus Prajoux,3,Vijay Amritraj,24,181,1,1,1974
15432,23.2744695414,24.388774811799998,5,128,R,L,170,173,100232,100199,USA,FRA,,Patrice Dominguez,13,Eddie Dibbs,16,53,1,1,1974
15442,21.793292265599998,30.611909650900003,5,128,L,R,180,190,100282,100076,ARG,CZE,,Milan Holecek,23,Guillermo Vilas,23,72,1,1,1974
15446,29.990417522199998,22.2943189596,5,128,R,R,180,190,100088,100266,CHI,GBR,,John Feaver,27,Patricio Cornejo,91,198,1,1,1974
15453,24.7282683094,19.7672826831,5,128,R,R,180,178,100185,100343,FRA,GBR,,John Lloyd,34,Patrick Proisy,57,81,1,1,1974
15468,21.2566735113,33.188227241599996,5,128,R,R,178,173,100300,100054,ESP,BRA,,Jose Mandarino,49,Jose Higueras,127,172,1,1,1974
15470,24.687200547600003,23.0116358658,5,128,R,R,193,175,100186,100243,USA,USA,,Steve Krulevitz,51,Jeff Borowiak,42,137,1,1,1974
15480,26.1026694045,22.633812457199998,5,128,R,L,173,183,100160,100255,FRA,USA,,Roscoe Tanner,61,Georges Goven,69,25,1,1,1974
15485,20.4681724846,23.865845311399998,5,128,R,R,193,183,100321,100215,IND,USA,,Fred Mcnair,66,Vijay Amritraj,24,96,2,1,1974
15487,20.0684462697,25.4182067077,5,128,R,R,183,173,100332,100172,HUN,ESP,,Modesto Tito Vazquez,68,Balazs Taroczy,136,105,2,1,1974
15509,32.4955509925,24.687200547600003,5,128,R,R,185,193,100060,100186,USA,USA,,Jeff Borowiak,90,Marty Riessen,14,42,2,1,1974
15510,21.708418891199997,24.219028063000003,5,128,R,R,168,185,100286,100205,USA,USA,,Paul Gerken,91,Harold Solomon,43,52,2,1,1974
15513,27.1348391513,22.349075975399998,5,128,R,R,188,183,100135,100261,NZL,USA,,Brian Gottfried,94,Onny Parun,36,31,2,1,1974
15516,28.257357974,20.4681724846,5,128,R,R,175,193,100113,100321,CZE,IND,,Vijay Amritraj,97,Jan Kodes,11,24,3,1,1974
15517,32.3121149897,20.0684462697,5,128,R,R,180,183,100062,100332,FRA,HUN,,Balazs Taroczy,98,Francois Jauffret,113,136,3,1,1974
15519,23.2744695414,21.2840520192,5,128,R,R,170,178,100232,100297,USA,ITA,,Corrado Barazzutti,100,Eddie Dibbs,16,40,3,1,1974
15521,25.3196440794,21.793292265599998,5,128,L,L,178,180,100174,100282,ESP,ARG,,Guillermo Vilas,102,Manuel Orantes,12,23,3,1,1974
15526,23.279945243,36.900752909,5,128,R,R,183,173,100231,100025,USA,AUS,,Barry Phillips Moore,107,Erik Van Dillen,41,75,3,1,1974
15528,32.4955509925,21.2566735113,5,128,R,R,185,178,100060,100300,USA,ESP,,Jose Higueras,109,Marty Riessen,14,127,3,1,1974
15531,27.874058863800002,26.1026694045,5,128,R,R,183,173,100119,100160,ROU,FRA,,Georges Goven,112,Ilie Nastase,3,69,3,1,1974
15532,32.3121149897,28.257357974,5,128,R,R,180,175,100062,100113,FRA,CZE,,Jan Kodes,113,Francois Jauffret,113,11,4,1,1974
15534,25.3196440794,30.8993839836,5,128,L,R,178,185,100174,100074,ESP,USA,,Arthur Ashe,115,Manuel Orantes,12,6,4,1,1974
15535,29.990417522199998,28.0,5,128,R,R,180,180,100088,100115,CHI,CHI,,Jaime Fillol,116,Patricio Cornejo,91,20,4,1,1974
15537,17.9904175222,23.279945243,5,128,R,R,180,183,100437,100231,SWE,USA,,Erik Van Dillen,118,Bjorn Borg,8,41,4,1,1974
15538,21.708418891199997,32.4955509925,5,128,R,R,168,185,100286,100060,USA,USA,,Marty Riessen,119,Harold Solomon,43,14,4,1,1974
15539,27.874058863800002,27.1348391513,5,128,R,R,183,188,100119,100135,ROU,NZL,,Onny Parun,120,Ilie Nastase,3,36,4,1,1974
15541,25.3196440794,29.990417522199998,5,128,L,R,178,180,100174,100088,ESP,CHI,,Patricio Cornejo,122,Manuel Orantes,12,91,5,1,1974
15542,17.9904175222,20.9527720739,5,128,R,R,180,183,100437,100309,SWE,MEX,,Raul Ramirez,123,Bjorn Borg,8,21,5,1,1974
15543,21.708418891199997,27.874058863800002,5,128,R,R,168,183,100286,100119,USA,ROU,,Ilie Nastase,124,Harold Solomon,43,3,5,1,1974
15544,25.3196440794,32.3121149897,5,128,L,R,178,180,100174,100062,ESP,FRA,,Francois Jauffret,125,Manuel Orantes,12,113,6,1,1974
15545,17.9904175222,21.708418891199997,5,128,R,R,180,168,100437,100286,SWE,USA,,Harold Solomon,126,Bjorn Borg,8,43,6,1,1974
15546,17.9904175222,25.3196440794,5,128,R,L,180,178,100437,100174,SWE,ESP,,Manuel Orantes,127,Bjorn Borg,8,12,7,1,1974
19043,21.0704996578,24.2436687201,5,128,R,R,183,183,100332,100236,HUN,AUS,,John James,6,Balazs Taroczy,51,153,1,1,1975
19058,29.2594113621,22.8336755647,5,128,R,R,175,183,100113,100280,CZE,POL,,Wojtek Fibak,21,Jan Kodes,19,64,1,1,1975
19068,25.7303216975,25.2210814511,5,128,R,R,180,185,100185,100205,FRA,USA,,Paul Gerken,31,Patrick Proisy,48,70,1,1,1975
19070,24.281998631100002,26.0944558522,5,128,R,R,183,178,100231,100179,USA,GER,,Karl Meiler,33,Erik Van Dillen,58,41,1,1,1975
