,age1,age2,best_of,draw_size,ht1,ht2,ioc1,ioc2,match_num,rank1,rank2,round,win,year
12298,26.7077344285,23.9671457906,5,128,193,180,USA,FRA,1,3,23,1,1,1973
12302,26.694045174499998,22.5133470226,5,128,180,170,USA,USA,5,15,39,1,1,1973
12314,30.1382614648,28.9418206708,5,128,185,188,USA,AUS,17,4,44,1,1,1973
12317,17.2292950034,26.417522245,5,128,180,175,SWE,USA,20,29,179,1,1,1973
12319,21.4428473648,18.9514031485,5,128,185,190,IND,USA,22,124,176,1,1,1973
12327,22.1546885695,19.0937713895,5,128,190,183,AUS,USA,30,32,125,1,1,1973
12333,26.6611909651,26.2587268994,5,128,175,178,USA,GBR,36,17,65,1,1,1973
12337,38.8227241615,27.786447638600002,5,128,175,173,AUS,GBR,40,6,122,1,1,1973
12341,23.140314852800003,19.1594798084,5,128,183,201,ITA,USA,44,8,145,1,1,1973
12343,19.7070499658,35.6687200548,5,128,193,185,IND,USA,46,43,126,1,1,1973
12344,23.627652293,24.3312799452,5,128,173,178,FRA,GER,47,36,20,1,1,1973
12345,35.0554414784,20.9472963723,5,128,173,168,AUS,USA,48,5,63,1,1,1973
12346,22.5188227242,25.3415468857,5,128,183,173,USA,FRA,49,38,56,1,1,1973
12348,27.2388774812,24.1122518823,5,128,180,173,CHI,USA,51,24,59,1,1,1973
12352,23.457905544099997,21.3990417522,5,128,185,178,USA,USA,55,35,44,1,1,1973
12353,29.5167693361,45.3059548255,5,128,178,188,NED,USA,56,9,129,1,1,1973
12362,26.7077344285,16.6762491444,5,128,193,178,USA,USA,65,3,60,2,1,1973
12364,26.694045174499998,28.3997262149,5,128,180,196,USA,SWE,67,15,51,2,1,1973
12368,26.373716632399997,31.7344284736,5,128,188,185,NZL,USA,71,57,14,2,1,1973
12370,30.1382614648,27.230663928800002,5,128,185,188,USA,USA,73,4,168,2,1,1973
12374,27.4962354552,32.9500342231,5,128,175,175,CZE,USA,77,11,101,2,1,1973
12377,32.2600958248,36.1396303901,5,128,188,173,RSA,AUS,80,40,82,2,1,1973
12379,26.6611909651,18.6830937714,5,128,175,190,USA,USA,82,17,141,2,1,1973
12385,35.0554414784,23.627652293,5,128,173,173,AUS,FRA,88,5,36,2,1,1973
12387,20.9883641342,27.2388774812,5,128,178,180,USA,CHI,90,10,24,2,1,1973
12389,29.5167693361,23.457905544099997,5,128,178,185,NED,USA,92,9,35,2,1,1973
12393,24.5776865161,27.112936345,5,128,188,183,USA,ROU,96,79,1,2,1,1973
12394,26.7077344285,21.8726899384,5,128,193,183,USA,USA,97,3,22,3,1,1973
12398,17.2292950034,30.1382614648,5,128,180,185,SWE,USA,101,29,4,3,1,1973
12401,22.1546885695,32.2600958248,5,128,190,188,AUS,RSA,104,32,40,3,1,1973
12402,26.6611909651,20.1916495551,5,128,175,183,USA,MEX,105,17,50,3,1,1973
12405,19.7070499658,35.0554414784,5,128,193,173,IND,AUS,108,43,5,3,1,1973
12407,29.5167693361,21.5879534565,5,128,178,183,NED,USA,110,9,21,3,1,1973
12410,26.7077344285,26.694045174499998,5,128,193,180,USA,USA,113,3,15,4,1,1973
12413,27.4962354552,22.1546885695,5,128,175,190,CZE,AUS,116,11,32,4,1,1973
