,age1,age2,best_of,draw_size,hand1,hand2,ht1,ht2,id1,id2,ioc1,ioc2,loser1,loser2,match_num,name1,rank1,rank2,round,win,year
17106,30.0862422998,26.160164271,5,128,R,R,183,173,100087,100160,AUS,FRA,,Georges Goven,1,John Newcombe,1,69,1,1,1974
17117,25.149897330599998,19.9123887748,5,128,R,R,178,183,100179,100342,GER,USA,,Vitas Gerulaitis,12,Karl Meiler,37,133,1,1,1974
17118,39.6413415469,36.9582477755,5,128,R,R,175,173,100016,100025,AUS,AUS,,Barry Phillips Moore,13,Ken Rosewall,109,75,1,1,1974
17119,20.525667351099997,26.819986310700003,5,128,R,R,193,180,100321,100144,IND,USA,,Robert Lutz,14,Vijay Amritraj,24,38,1,1,1974
17123,27.865845311399998,20.125941136199998,5,128,R,R,180,183,100120,100332,RSA,HUN,,Balazs Taroczy,18,Robert Maud,59,136,1,1,1974
17127,21.0102669405,30.0479123888,5,128,R,R,183,180,100309,100088,MEX,CHI,,Patricio Cornejo,22,Raul Ramirez,21,91,1,1,1974
17130,18.0479123888,28.605065024,5,128,R,R,180,173,100437,100106,SWE,GBR,,Graham Stilwell,25,Bjorn Borg,8,95,1,1,1974
17134,25.3771389459,21.765913757699998,5,128,L,R,178,168,100174,100286,ESP,USA,,Harold Solomon,29,Manuel Orantes,12,43,1,1,1974
17136,29.1033538672,30.721423682399998,5,128,L,L,178,185,100100,100075,AUS,AUS,,Owen Davidson,31,Tony Roche,115,73,1,1,1974
17138,22.217659137600002,32.0958247775,5,128,R,R,178,183,100272,100067,USA,RSA,,Frew Mcmillan,33,Sandy Mayer,121,39,1,1,1974
17141,27.512662559899997,22.2614647502,5,128,R,R,180,185,100127,100270,USA,IND,,Anand Amritraj,36,Tom Gorman,10,87,1,1,1974
17145,28.314852840500002,28.0492813142,5,128,R,R,175,188,100113,100116,CZE,USA,,Sherwood Stewart,40,Jan Kodes,11,80,1,1,1974
17152,24.3559206023,29.7604380561,5,128,R,R,183,188,100203,100091,AUS,AUS,,Colin Dibley,47,Phil Dent,34,51,1,1,1974
17153,21.8069815195,29.218343600300003,5,128,L,R,178,196,100284,100098,USA,SWE,,Ove Nils Bengtson,48,Jimmy Connors,2,70,1,1,1974
17161,30.3353867214,31.909650924,5,128,R,R,178,188,100084,100069,NED,USA,,Dennis Ralston,56,Tom Okker,4,166,1,1,1974
17167,32.3696098563,30.6694045175,5,128,R,R,180,190,100062,100076,FRA,CZE,,Milan Holecek,62,Francois Jauffret,113,72,1,1,1974
17168,22.4065708419,27.832991101999998,5,128,R,R,183,183,100261,100121,USA,RSA,,Raymond Moore,63,Brian Gottfried,31,58,1,1,1974
17172,21.8507871321,32.553045859,5,128,L,R,180,185,100282,100060,ARG,USA,,Marty Riessen,67,Guillermo Vilas,23,14,2,1,1974
17175,22.6913073238,25.149897330599998,5,128,L,R,183,178,100255,100179,USA,GER,,Karl Meiler,70,Roscoe Tanner,25,37,2,1,1974
17176,39.6413415469,20.525667351099997,5,128,R,R,175,193,100016,100321,AUS,IND,,Vijay Amritraj,71,Ken Rosewall,109,24,2,1,1974
